mesocosm;mass;%N;%C;%P;C/N;C/P;N/P
1;0.544;4.87;52.77;0.235;12.64;579.29;45.82
2;0.333;6.52;52.87;0.32;9.46;426.33;45.06
3;0.466;4.36;49.13;0.173;13.15;734.11;55.84
4;0.59;4.5;44.35;0.171;11.5;668.95;58.18
5;0.361;6.18;48.69;0.289;9.19;435.39;47.37
6;0.548;5.19;51.21;0.156;11.51;846.07;73.5
7;0.454;4.32;51.19;0.206;13.82;643.02;46.51
8;0.675;4.7;49.91;0.226;12.39;571.61;46.14
9;0.449;4.29;45.43;0.151;12.35;775.67;62.78
10;0.504;5.17;52.41;0.161;11.83;839.87;71.01
11;0.589;5.24;47.41;0.188;10.56;651.2;61.69
12;0.451;4.77;49.75;0.14;12.17;915.31;75.22
13;0.167;7.44;50.02;0.327;7.84;395.08;50.37
14;0.283;6.48;49.71;0.262;8.95;490.58;54.81
15;0.316;5.18;49.63;0.148;11.18;866.27;77.5
16;0.557;5.33;54.85;0.227;12.01;624.85;52.04
17;0.525;5.54;53.4;0.237;11.25;582.83;51.83
18;0.462;4.84;50.46;0.118;12.16;1102.58;90.65
19;0.267;5.57;51.13;0.169;10.71;782.63;73.08
20;0.187;6.51;52.39;0.232;9.39;583.75;62.17
21;0.354;5.2;47.86;0.153;10.74;806.35;75.09
22;0.481;5.52;51.5;0.166;10.88;801.09;73.6
23;0.3;6.28;53.53;0.283;9.94;489.03;49.18
24;0.806;3.7;45.67;0.134;14.4;880.11;61.12
25;0.512;4.96;49.72;0.176;11.69;731.08;62.51
26;0.276;7.46;52.99;0.374;8.29;365.86;44.15
27;0.432;4.58;50.17;0.174;12.78;743.81;58.2
28;0.503;4.72;44.45;0.192;10.99;597.85;54.42
29;0.545;5.34;49.02;0.174;10.71;728.53;68.03
30;0.408;5.74;56.11;0.177;11.4;819.09;71.82
31;0.632;5.26;49.47;0.167;10.97;764.44;69.67
32;0.176;7.72;69.44;0.268;10.49;670.17;63.86
33;0.342;5.73;53.42;0.228;10.88;605.04;55.63
34;0.426;4.75;48.03;0.12;11.8;1032.22;87.5
35;0.239;7.47;61.93;0.22;9.67;727.31;75.2
36;0.559;5.27;48.53;0.195;10.74;641.53;59.71
