mesocosm;date;NO2;NO3;NH4;PO4;series;remark
1;23_07_2015;3.474;632.64;19.096;3.171;1;ok
2;23_07_2015;5.157;1602.98;30.551;3.475;1;ok
3;23_07_2015;6.577;1638.795;18.935;2.669;1;ok
4;23_07_2015;6.84;1582.46;52.151;3.25;1;ok
5;23_07_2015;5.856;1655.035;31.539;2.643;1;ok
6;23_07_2015;1.202;1627.44;28.264;2.59;1;ok
7;23_07_2015;3.518;1013.275;17.912;3.079;1;ok
8;23_07_2015;6.009;1680.82;11.742;2.894;1;ok
9;23_07_2015;6.687;1559.87;22.68;3.343;1;ok
10;23_07_2015;6.534;1572.88;25.082;2.286;1;ok
11;23_07_2015;6.25;1734.415;13.673;2.273;1;ok
12;23_07_2015;6.927;1565.38;16.212;1.784;1;ok
13;23_07_2015;2.928;629.23;42.488;2.563;1;ok
14;23_07_2015;6.031;1675.635;24.599;3.052;1;ok
15;23_07_2015;7.539;1852.13;19.797;2.246;1;ok
16;23_07_2015;NA;NA;NA;NA;1;empty
17;23_07_2015;6.643;1558.495;42.856;4.466;1;ok
18;23_07_2015;6.403;1479.515;48.325;3.951;1;ok
19;23_07_2015;17.774;810.636;25.833;1.467;1;ok
20;23_07_2015;17.947;1095.123;26.136;2.656;1;ok
21;23_07_2015;19.547;1029.828;14.369;1.969;1;ok
22;23_07_2015;18.294;985.066;33.498;2.22;1;ok
23;23_07_2015;17.658;1073.247;18.879;3.462;1;ok
24;23_07_2015;16.135;839.8;56.952;2.352;1;ok
25;23_07_2015;22.053;1128.592;33.577;2.656;1;ok
26;23_07_2015;14.42;897.755;20.772;2.418;1;ok
27;23_07_2015;19.817;1091.398;16.841;2.854;1;ok
28;23_07_2015;17.523;922.037;23.861;3.092;1;ok
29;23_07_2015;13.417;761.593;21.981;2.18;1;ok
30;23_07_2015;18.063;961.137;38.809;2.709;1;ok
31;23_07_2015;20.068;999.612;29.291;2.616;1;ok
32;23_07_2015;17.08;912.08;13.87;2.629;1;ok
33;23_07_2015;17.003;968.042;24.597;3.462;1;ok
34;23_07_2015;26.391;1275.074;28.357;3.303;1;ok
35;23_07_2015;24.945;1410.955;12.594;3.409;1;ok
36;23_07_2015;27.354;1407.496;22.547;3.264;1;ok
1;23_07_2015;5.354;1448.02;40.386;6.765;2;ok
2;23_07_2015;5.113;1650.02;50.324;5.18;2;ok
3;23_07_2015;8.085;1619.4;35.273;4.4;2;ok
4;23_07_2015;6.359;1493.895;76.842;3.528;2;ok
5;23_07_2015;6.534;1633.295;68.087;5.034;2;ok
6;23_07_2015;6.752;1598.66;43.293;3.435;2;ok
7;23_07_2015;6.709;1672.74;33.435;4.268;2;ok
8;23_07_2015;5.813;1638.21;18.59;4.123;2;ok
9;23_07_2015;6.993;1540.915;35.48;3.409;2;ok
10;23_07_2015;3.627;605.185;32.63;3.158;2;ok
11;23_07_2015;9.091;2224.585;21.784;3.237;2;ok
12;23_07_2015;7.255;1514.19;24.266;3.052;2;ok
13;23_07_2015;9.877;2829.705;79.887;3.396;2;ok
14;23_07_2015;8.173;2377.755;35.721;5.008;2;ok
15;23_07_2015;7.495;1768.265;27.759;3.898;2;ok
16;23_07_2015;NA;NA;NA;NA;2;empty
17;23_07_2015;7.08;1435.56;42.603;5.219;2;ok
18;23_07_2015;7.211;1588.38;44.959;4.73;2;ok
19;23_07_2015;30.805;1365.735;9.584;2.444;2;ok
20;23_07_2015;20.222;1167.123;23.585;2.973;2;ok
21;23_07_2015;19.162;980.663;12.437;3.013;2;ok
22;23_07_2015;21.88;1173.41;19.733;3.396;2;ok
23;23_07_2015;19.277;1195.028;14.843;4.123;2;ok
24;23_07_2015;18.391;967.669;39.848;2.96;2;ok
25;23_07_2015;24.617;1329.798;26.832;2.511;2;ok
26;23_07_2015;24.694;1132.676;15;2.511;2;ok
27;23_07_2015;18.892;1379.293;17.288;2.986;2;ok
28;23_07_2015;23.673;1284.062;21.495;2.616;2;ok
29;23_07_2015;19.779;1039.471;10.044;2.524;2;ok
30;23_07_2015;18.911;926.529;22.77;2.92;2;ok
31;23_07_2015;23.942;1230.213;21.889;2.312;2;ok
32;23_07_2015;19.991;1215.924;9.531;2.497;2;ok
33;23_07_2015;18.661;1021.714;27.766;2.933;2;ok
34;23_07_2015;21.398;1072.342;26.675;2.061;2;ok
35;23_07_2015;21.957;1246.383;21.981;3.065;2;ok
36;23_07_2015;24.405;1232.1;22.678;2.88;2;ok
1;01_10_2015;243.192;8.942;68.375;11.269;1;ok
2;01_10_2015;460.272;10.159;78.617;14.035;1;ok
3;01_10_2015;384.561;9.052;74.207;7.562;1;ok
4;01_10_2015;327.936;7.301;78.749;5.941;1;ok
5;01_10_2015;515.26;9.016;65.848;4.346;1;ok
6;01_10_2015;260.275;6.508;65.979;2.602;1;ok
7;01_10_2015;406.742;11.671;60.016;2.984;1;ok
8;01_10_2015;330.32;7.448;72.812;1.676;1;ok
9;01_10_2015;300.375;6.637;93.256;1.621;1;ok
10;01_10_2015;262.396;0.184;57.014;1.226;1;ok
11;01_10_2015;371.322;10.214;64.992;1.621;1;ok
12;01_10_2015;363.965;10.73;75.945;1.662;1;ok
13;01_10_2015;382.85;7.854;55.738;2.602;1;ok
14;01_10_2015;763.554;11.136;117.399;0.408;1;ok
15;01_10_2015;328.087;15.376;58.989;NA;1;PO4_no-detected
16;01_10_2015;328.819;8.794;72.719;NA;1;PO4_no-detected
17;01_10_2015;392.198;9.624;68.099;NA;1;PO4_no-detected
18;01_10_2015;286.364;9.218;67.77;NA;1;PO4_no-detected
19;01_10_2015;248.122;15.966;76.037;NA;1;PO4_no-detected
20;01_10_2015;336.26;9.366;60.082;NA;1;PO4_no-detected
21;01_10_2015;439.916;12.851;61.74;NA;1;PO4_no-detected
22;01_10_2015;259.828;14.067;72.548;NA;1;PO4_no-detected
23;01_10_2015;415.838;12.685;63.676;NA;1;PO4_no-detected
24;01_10_2015;215.553;6.029;60.332;NA;1;PO4_no-detected
25;01_10_2015;369.677;9.237;74.892;NA;1;PO4_no-detected
26;01_10_2015;689.232;17.718;92.071;NA;1;PO4_no-detected
27;01_10_2015;380.131;12.482;75.036;NA;1;PO4_no-detected
28;01_10_2015;323.463;7.743;116.333;NA;1;PO4_no-detected
29;01_10_2015;377.911;10.859;59.845;NA;1;PO4_no-detected
30;01_10_2015;524.276;19.451;45.469;NA;1;PO4_no-detected
31;01_10_2015;393.626;20.06;72.614;NA;1;PO4_no-detected
32;01_10_2015;402.74;12.076;57.093;NA;1;PO4_no-detected
33;01_10_2015;470.751;14.362;62.965;NA;1;PO4_no-detected
34;01_10_2015;801.02;32.431;21.405;NA;1;PO4_no-detected
35;01_10_2015;435.963;15.395;68.704;NA;1;PO4_no-detected
36;01_10_2015;639.245;21.627;49.642;NA;1;PO4_no-detected
1;21_10_2015;962.08;138.76;1000.009;43.809;1;broken
2;21_10_2015;1558.58;183.4;413.549;15.18;1;broken
3;21_10_2015;1910.63;138.76;1687.493;32.908;1;broken
4;21_10_2015;376.953;10.855;15.743;10.315;1;ok
5;21_10_2015;458.15;8.89;71.02;10.914;1;ok
6;21_10_2015;157.28;6.744;41.395;11.923;1;ok
7;21_10_2015;1052.45;177.68;416.473;63.105;1;broken
8;21_10_2015;1514.25;191.79;132.458;25.781;1;broken
9;21_10_2015;991.13;166.08;207.515;15.725;1;broken
10;21_10_2015;1028.07;163.4;644.804;16.474;1;broken
11;21_10_2015;777.39;162.68;251.388;16.542;1;broken
12;21_10_2015;635.06;159.83;125.629;10.805;1;broken
13;21_10_2015;628.08;152.68;250.956;14.798;1;broken
14;21_10_2015;904.29;155.01;347.34;15.725;1;broken
15;21_10_2015;418.68;158.22;548.17;12.768;1;broken
16;21_10_2015;980.003;47.115;62.972;11.064;1;ok
17;21_10_2015;668.045;23.26;58.672;8.652;1;ok
18;21_10_2015;1619.48;191.61;283.805;16.747;1;broken
19;21_10_2015;1823.38;215.36;72.095;13.245;1;broken
20;21_10_2015;377.935;;74.585;12.373;1;ok
21;21_10_2015;58.01;139.11;387.726;12.005;1;broken
22;21_10_2015;168.026;10.549;52.315;12.032;1;ok
23;21_10_2015;315.356;7.447;56.968;12.836;1;ok
24;21_10_2015;184.539;5.951;48.697;11.678;1;ok
25;21_10_2015;312.254;9.737;48.88;11.173;1;ok
26;21_10_2015;443.213;11.522;67.31;13.653;1;ok
27;21_10_2015;273.209;7.898;70.745;14.771;1;ok
28;21_10_2015;40.77;137.68;272.034;8.639;1;broken
29;21_10_2015;837.113;26.055;79.095;49.042;1;ok
30;21_10_2015;911.865;34.944;53.403;10.846;1;ok
31;21_10_2015;301.396;18.789;73.707;355.86;1;ok
32;21_10_2015;283.577;7.664;49.89;11.664;1;ok
33;21_10_2015;293.974;8.926;40.294;11.187;1;ok
34;21_10_2015;230.453;8.403;68.503;17.523;1;ok
35;21_10_2015;376.52;12.009;76.604;36.233;1;ok
36;21_10_2015;231.351;6.834;43.637;12.454;1;ok
