mesocosm;before;after;volume;stuck
1;134.433;139.46;340;1
2;133.449;136.53;1200;1
3;134.455;138.764;770;1
4;136.121;141.579;800;1
5;133.811;137.149;740;0
6;132.85;137.919;720;1
7;136.105;140.2987;640;1
8;133.888;140.13;1240;1
9;135.034;139.184;630;0
10;132.693;137.35;820;1
11;134.453;139.895;910;1
12;133.137;137.307;500;1
13;133.679;135.221;390;0
14;133.294;135.909;610;0
15;133.449;136.366;360;1
16;133.458;138.612;1100;1
17;134.174;139.026;790;0
18;132.978;137.253;420;1
19;134.325;136.792;340;1
20;136.141;137.869;400;1
21;133.515;136.791;320;1
22;133.438;137.883;700;1
23;136.187;138.961;680;0
24;134.723;142.175;NA;1
25;133.856;138.593;940;1
26;134.498;137.052;1000;1
27;134.734;138.73;510;1
28;133.73;138.377;1000;1
29;132.563;137.604;620;0
30;133.854;137.628;500;1
31;133.923;139.763;780;0
32;135.781;137.411;460;1
33;134.962;138.123;760;1
34;135.841;139.776;360;0
35;133.9;136.105;380;1
36;133.842;139.011;760;1
